epoch,step,test_dice,test_loss,train_loss,val_loss
0,26,,,,1.479308009147644
0,26,,,1.4912400245666504,
1,53,,,,1.4315799474716187
1,53,,,1.4243535995483398,
2,80,,,,1.3777531385421753
2,80,,,1.3715434074401855,
3,107,,,,1.3474048376083374
3,107,,,1.3135271072387695,
4,134,,,,1.2979716062545776
4,134,,,1.2653268575668335,
5,161,,,,1.311935305595398
5,161,,,1.2301133871078491,
6,188,,,,1.1888229846954346
6,188,,,1.1791861057281494,
7,215,,,,1.1941630840301514
7,215,,,1.1498867273330688,
8,242,,,,1.0911908149719238
8,242,,,1.117286205291748,
9,269,,,,1.0646660327911377
9,269,,,1.0880059003829956,
10,296,,,,1.0130598545074463
10,296,,,1.054660677909851,
11,323,,,,0.9892542362213135
11,323,,,1.0090069770812988,
12,350,,,,0.9289527535438538
12,350,,,0.9982782006263733,
13,377,,,,0.9243671894073486
13,377,,,0.9546581506729126,
14,404,,,,0.996263861656189
14,404,,,0.9323543906211853,
15,431,,,,0.9171233177185059
15,431,,,0.9193546175956726,
16,458,,,,0.8714547157287598
16,458,,,0.9046680331230164,
17,485,,,,0.8007518649101257
17,485,,,0.876253068447113,
18,512,,,,0.8057776093482971
18,512,,,0.8552820682525635,
19,539,,,,0.7848454713821411
19,539,,,0.8386291265487671,
20,566,,,,0.7806658148765564
20,566,,,0.8235324025154114,
21,593,,,,0.8826674222946167
21,593,,,0.8279789686203003,
22,620,,,,0.8572216629981995
22,620,,,0.8041590452194214,
23,647,,,,0.6691638827323914
23,647,,,0.7899001240730286,
24,674,,,,0.6720784902572632
24,674,,,0.7732232213020325,
25,701,,,,0.6372429132461548
25,701,,,0.7679581046104431,
26,728,,,,0.6484761238098145
26,728,,,0.7323147654533386,
27,755,,,,0.6474663019180298
27,755,,,0.7328105568885803,
28,782,,,,0.6826280951499939
28,782,,,0.7096707224845886,
29,809,,,,0.6082934141159058
29,809,,,0.7154112458229065,
30,836,,,,0.6004256010055542
30,836,,,0.7029564380645752,
31,863,,,,0.599644124507904
31,863,,,0.6749861836433411,
32,890,,,,0.5023881793022156
32,890,,,0.6683917045593262,
33,917,,,,0.606533408164978
33,917,,,0.6413441300392151,
34,944,,,,0.5431302189826965
34,944,,,0.6622619032859802,
35,971,,,,0.6678929924964905
35,971,,,0.6661876440048218,
36,998,,,,0.4725537598133087
36,998,,,0.6409854888916016,
37,1025,,,,0.7180574536323547
37,1025,,,0.6384071707725525,
38,1052,,,,0.46823835372924805
38,1052,,,0.6395041346549988,
39,1079,,,,0.5200181007385254
39,1079,,,0.6166894435882568,
40,1106,,,,0.4756142199039459
40,1106,,,0.6208910942077637,
41,1133,,,,0.42240098118782043
41,1133,,,0.6035569310188293,
42,1160,,,,0.4564078450202942
42,1160,,,0.6288119554519653,
43,1187,,,,0.7757638096809387
43,1187,,,0.607599675655365,
44,1214,,,,0.39803123474121094
44,1214,,,0.5925872325897217,
45,1241,,,,0.38672593235969543
45,1241,,,0.5996028780937195,
46,1268,,,,0.6677269339561462
46,1268,,,0.5815064907073975,
47,1295,,,,0.6858795285224915
47,1295,,,0.5775331854820251,
48,1322,,,,0.39013123512268066
48,1322,,,0.5549175143241882,
49,1349,,,,0.43141970038414
49,1349,,,0.5689203143119812,
50,1376,,,,0.3868333101272583
50,1376,,,0.5334917306900024,
51,1403,,,,1.3463667631149292
51,1403,,,0.5859073996543884,
52,1430,,,,0.39986276626586914
52,1430,,,0.5374383330345154,
53,1457,,,,0.7290503978729248
53,1457,,,0.5797843337059021,
54,1484,,,,0.39229604601860046
54,1484,,,0.5719990134239197,
55,1511,,,,0.9853875041007996
55,1511,,,0.5447350740432739,
56,1538,,,,0.4300832450389862
56,1538,,,0.5688135623931885,
57,1565,,,,0.38970983028411865
57,1565,,,0.5316386222839355,
58,1592,,,,0.3623274862766266
58,1592,,,0.5063773393630981,
59,1619,,,,0.359391450881958
59,1619,,,0.5229793190956116,
60,1646,,,,0.3847545385360718
60,1646,,,0.5096880793571472,
61,1673,,,,0.3486751616001129
61,1673,,,0.5138598084449768,
62,1700,,,,0.37506672739982605
62,1700,,,0.5157833099365234,
63,1727,,,,0.3531847596168518
63,1727,,,0.4902009665966034,
64,1754,,,,0.37580105662345886
64,1754,,,0.5113487839698792,
65,1781,,,,0.3512011170387268
65,1781,,,0.5083616971969604,
