epoch,step,train_loss,val_loss
0,26,,1.6402125358581543
0,26,1.8129395246505737,
1,53,,1.7559466361999512
1,53,1.8002127408981323,
2,80,,1.7707281112670898
2,80,1.783316969871521,
3,107,,1.7591602802276611
3,107,1.768425464630127,
4,134,,1.748481035232544
4,134,1.755329966545105,
5,161,,1.7363992929458618
5,161,1.7474191188812256,
6,188,,1.725170612335205
6,188,1.7387051582336426,
7,215,,1.7159326076507568
7,215,1.7237915992736816,
8,242,,1.7053452730178833
8,242,1.7161935567855835,
9,269,,1.6967743635177612
9,269,1.703831434249878,
10,296,,1.6868267059326172
10,296,1.6935193538665771,
11,323,,1.6776082515716553
11,323,1.6837273836135864,
12,350,,1.6769721508026123
12,350,1.6777054071426392,
13,377,,1.6754568815231323
13,377,1.6759374141693115,
14,404,,1.675057291984558
14,404,1.673830270767212,
15,431,,1.6723401546478271
15,431,1.6717714071273804,
16,458,,1.6732624769210815
16,458,1.6744023561477661,
17,485,,1.6716899871826172
17,485,1.6765004396438599,
18,512,,1.670494794845581
18,512,1.6719681024551392,
19,539,,1.6697094440460205
19,539,1.6706346273422241,
20,566,,1.6708760261535645
20,566,1.6776460409164429,
21,593,,1.6689375638961792
21,593,1.671953797340393,
22,620,,1.6675549745559692
22,620,1.6748671531677246,
23,647,,1.6690077781677246
23,647,1.6678471565246582,
24,674,,1.6674067974090576
24,674,1.668176293373108,
25,701,,1.6678433418273926
25,701,1.6708310842514038,
26,728,,1.6667534112930298
26,728,1.6694753170013428,
27,755,,1.6674484014511108
27,755,1.6703343391418457,
28,782,,1.6665695905685425
28,782,1.670110821723938,
29,809,,1.6666922569274902
29,809,1.6646662950515747,
30,836,,1.6674859523773193
30,836,1.665166974067688,
31,863,,1.6668752431869507
31,863,1.6688733100891113,
32,890,,1.6651625633239746
32,890,1.664494514465332,
33,917,,1.6652908325195312
33,917,1.6629396677017212,
34,944,,1.665525197982788
34,944,1.6648640632629395,
35,971,,1.6663134098052979
35,971,1.6707687377929688,
36,998,,1.6676522493362427
36,998,1.672969102859497,
37,1025,,1.6661559343338013
37,1025,1.6636079549789429,
38,1052,,1.6667635440826416
38,1052,1.6658270359039307,
39,1079,,1.6660021543502808
39,1079,1.6693565845489502,
40,1106,,1.6668317317962646
40,1106,1.669899582862854,
41,1133,,1.6656317710876465
41,1133,1.6609376668930054,
