epoch,step,train_loss,val_loss
0,26,,1.4959903955459595
0,26,1.3953338861465454,
1,53,,0.9644540548324585
1,53,1.078141450881958,
2,80,,0.6996550559997559
2,80,0.8731213808059692,
3,107,,1.2156457901000977
3,107,0.7233241200447083,
4,134,,0.5231791138648987
4,134,0.6732510924339294,
5,161,,0.4360654354095459
5,161,0.5893154740333557,
6,188,,0.49442246556282043
6,188,0.5492185354232788,
7,215,,0.4524478018283844
7,215,0.5459342002868652,
8,242,,0.4009861946105957
8,242,0.4972688853740692,
9,269,,0.4448918402194977
9,269,0.47663334012031555,
10,296,,0.36543384194374084
10,296,0.4540409445762634,
11,323,,0.34856975078582764
11,323,0.47453179955482483,
12,350,,0.510063648223877
12,350,0.43719199299812317,
13,377,,0.4854488968849182
13,377,0.44610342383384705,
14,404,,0.3206087648868561
14,404,0.4112682044506073,
15,431,,0.3402407169342041
15,431,0.3988916575908661,
16,458,,0.38866207003593445
16,458,0.3850584626197815,
17,485,,0.36165404319763184
17,485,0.3837287127971649,
18,512,,0.26302653551101685
18,512,0.3490980863571167,
19,539,,0.2631429433822632
19,539,0.35065731406211853,
20,566,,0.3892679512500763
20,566,0.3770514726638794,
21,593,,0.30225110054016113
21,593,0.39739423990249634,
22,620,,0.3081955909729004
22,620,0.32368558645248413,
23,647,,0.3075017035007477
23,647,0.34503617882728577,
24,674,,0.3469424545764923
24,674,0.3331845998764038,
25,701,,0.24006670713424683
25,701,0.3253215253353119,
26,728,,0.2969338297843933
26,728,0.31235191226005554,
27,755,,0.2608160376548767
27,755,0.3112028241157532,
28,782,,0.3003780245780945
28,782,0.30373555421829224,
29,809,,0.3659822940826416
29,809,0.3124118447303772,
30,836,,0.33761927485466003
30,836,0.319313108921051,
31,863,,0.3354465067386627
31,863,0.29863178730010986,
32,890,,0.22834162414073944
32,890,0.2708679139614105,
33,917,,0.5659119486808777
33,917,0.28610047698020935,
34,944,,0.29970458149909973
34,944,0.3067205548286438,
35,971,,0.29862600564956665
35,971,0.31907787919044495,
36,998,,0.282205194234848
36,998,0.2684720456600189,
37,1025,,0.2311338633298874
37,1025,0.2764080762863159,
38,1052,,0.2304680198431015
38,1052,0.26755818724632263,
39,1079,,0.31035783886909485
39,1079,0.26598861813545227,
40,1106,,0.2920645773410797
40,1106,0.2963203489780426,
41,1133,,0.2181282937526703
41,1133,0.2740301787853241,
42,1160,,0.2287200689315796
42,1160,0.2622731328010559,
43,1187,,0.24811922013759613
43,1187,0.26151224970817566,
44,1214,,0.21750308573246002
44,1214,0.24652071297168732,
45,1241,,0.24026894569396973
45,1241,0.2367890477180481,
46,1268,,0.291846364736557
46,1268,0.2609446048736572,
47,1295,,0.21981947124004364
47,1295,0.24840860068798065,
48,1322,,0.25941887497901917
48,1322,0.2703644931316376,
49,1349,,0.21654316782951355
49,1349,0.2455236166715622,
50,1376,,0.19970490038394928
50,1376,0.23897354304790497,
51,1403,,0.2034641057252884
51,1403,0.22983480989933014,
52,1430,,0.23379424214363098
52,1430,0.24635984003543854,
53,1457,,0.20941346883773804
53,1457,0.2271929681301117,
54,1484,,0.21976909041404724
54,1484,0.2370094656944275,
55,1511,,0.39697474241256714
55,1511,0.22836533188819885,
56,1538,,0.225069060921669
56,1538,0.2395952194929123,
57,1565,,0.21403397619724274
57,1565,0.2387155145406723,
58,1592,,0.19202736020088196
58,1592,0.21272993087768555,
59,1619,,0.2373834252357483
59,1619,0.22179940342903137,
60,1646,,0.19486455619335175
60,1646,0.23405106365680695,
61,1673,,0.2184247523546219
61,1673,0.22121724486351013,
62,1700,,0.20699264109134674
62,1700,0.21112355589866638,
63,1727,,0.20781934261322021
63,1727,0.23576635122299194,
64,1754,,0.213684543967247
64,1754,0.21043403446674347,
65,1781,,0.20354342460632324
65,1781,0.2173149287700653,
66,1808,,0.2868701219558716
66,1808,0.21053564548492432,
67,1835,,0.2315695732831955
67,1835,0.20481622219085693,
68,1862,,0.21921920776367188
68,1862,0.1982080638408661,
69,1889,,0.20364457368850708
69,1889,0.22636744379997253,
70,1916,,0.16510431468486786
70,1916,0.20546960830688477,
71,1943,,0.15915203094482422
71,1943,0.1936793476343155,
72,1970,,0.1584208607673645
72,1970,0.1709662675857544,
73,1997,,0.16324067115783691
73,1997,0.18969562649726868,
74,2024,,0.16083545982837677
74,2024,0.1790391355752945,
75,2051,,0.15770751237869263
75,2051,0.16979004442691803,
76,2078,,0.16127407550811768
76,2078,0.17449891567230225,
77,2105,,0.1576850265264511
77,2105,0.17622283101081848,
78,2132,,0.16007202863693237
78,2132,0.17815183103084564,
79,2159,,0.15869122743606567
79,2159,0.18087437748908997,
80,2186,,0.16431422531604767
80,2186,0.18584595620632172,
81,2213,,0.15691743791103363
81,2213,0.17486180365085602,
82,2240,,0.1536937803030014
82,2240,0.17712754011154175,
83,2267,,0.1628333330154419
83,2267,0.18767444789409637,
84,2294,,0.1550300121307373
84,2294,0.1740676611661911,
85,2321,,0.1645246297121048
85,2321,0.1736072599887848,
86,2348,,0.1607542335987091
86,2348,0.1808912307024002,
87,2375,,0.15631715953350067
87,2375,0.18514204025268555,
88,2402,,0.15178947150707245
88,2402,0.1760420799255371,
89,2429,,0.1635642945766449
89,2429,0.17884095013141632,
90,2456,,0.15962769091129303
90,2456,0.17565135657787323,
91,2483,,0.1528805047273636
91,2483,0.16797170042991638,
92,2510,,0.16047000885009766
92,2510,0.16230656206607819,
93,2537,,0.15772290527820587
93,2537,0.1720174103975296,
94,2564,,0.1601371467113495
94,2564,0.1848425716161728,
95,2591,,0.16530101001262665
95,2591,0.17312826216220856,
96,2618,,0.1604582965373993
96,2618,0.17604173719882965,
97,2645,,0.15454575419425964
97,2645,0.1733277291059494,
98,2672,,0.1585628241300583
98,2672,0.17203235626220703,
99,2699,,0.15825462341308594
99,2699,0.1759451925754547,
