epoch,step,test_dice,test_loss,train_loss,val_loss
0,26,,,,1.8266174793243408
0,26,,,1.4106417894363403,
1,53,,,,1.6327153444290161
1,53,,,1.0814443826675415,
2,80,,,,1.3876537084579468
2,80,,,0.8799862265586853,
3,107,,,,1.2705556154251099
3,107,,,0.7799080610275269,
4,134,,,,1.860947847366333
4,134,,,0.7077144384384155,
5,161,,,,2.4582765102386475
5,161,,,0.6796095371246338,
6,188,,,,1.1573587656021118
6,188,,,0.6307510733604431,
7,215,,,,0.6789926290512085
7,215,,,0.5543944835662842,
8,242,,,,0.4197957515716553
8,242,,,0.5948479771614075,
9,269,,,,0.5769041776657104
9,269,,,0.513634979724884,
10,296,,,,2.176039218902588
10,296,,,0.5280084013938904,
11,323,,,,1.2485897541046143
11,323,,,0.4661444127559662,
12,350,,,,0.8249594569206238
12,350,,,0.484190970659256,
13,377,,,,0.35332468152046204
13,377,,,0.47464293241500854,
14,404,,,,0.32751592993736267
14,404,,,0.504374623298645,
15,431,,,,2.933151960372925
15,431,,,0.46352899074554443,
16,458,,,,0.7936163544654846
16,458,,,0.4657972455024719,
17,485,,,,0.3531620502471924
17,485,,,0.4332844018936157,
18,512,,,,1.1195118427276611
18,512,,,0.43557459115982056,
19,539,,,,0.31793728470802307
19,539,,,0.3994337022304535,
20,566,,,,0.3003549873828888
20,566,,,0.44626620411872864,
21,593,,,,0.42245247960090637
21,593,,,0.411687433719635,
22,620,,,,0.3343057930469513
22,620,,,0.3710540235042572,
23,647,,,,1.6210328340530396
23,647,,,0.39082038402557373,
24,674,,,,0.2913212776184082
24,674,,,0.36756712198257446,
25,701,,,,0.2737157642841339
25,701,,,0.3891778588294983,
26,728,,,,0.37288665771484375
26,728,,,0.381038635969162,
27,755,,,,0.9728933572769165
27,755,,,0.3579148054122925,
28,782,,,,0.5018054842948914
28,782,,,0.3570224642753601,
29,809,,,,0.25725290179252625
29,809,,,0.360530287027359,
30,836,,,,1.7282495498657227
30,836,,,0.3578457236289978,
31,863,,,,0.2259400486946106
31,863,,,0.34089750051498413,
32,890,,,,1.3710671663284302
32,890,,,0.3640303313732147,
33,917,,,,0.2961519956588745
33,917,,,0.34598973393440247,
34,944,,,,0.2587282657623291
34,944,,,0.30470046401023865,
