epoch,step,train_loss,val_loss
0,26,,1.5205496549606323
0,26,1.5408103466033936,
1,53,,1.5281219482421875
1,53,1.520224690437317,
2,80,,1.519239902496338
2,80,1.507920265197754,
3,107,,1.5105342864990234
3,107,1.4941561222076416,
4,134,,1.5023967027664185
4,134,1.481434941291809,
5,161,,1.4955723285675049
5,161,1.4777692556381226,
6,188,,1.490035891532898
6,188,1.467453956604004,
7,215,,1.4821250438690186
7,215,1.4591387510299683,
8,242,,1.476220726966858
8,242,1.4514375925064087,
9,269,,1.471376657485962
9,269,1.4417985677719116,
10,296,,1.4612609148025513
10,296,1.4358713626861572,
11,323,,1.4555612802505493
11,323,1.4264847040176392,
12,350,,1.4446468353271484
12,350,1.42000150680542,
13,377,,1.4413737058639526
13,377,1.41221022605896,
14,404,,1.4346866607666016
14,404,1.397615671157837,
15,431,,1.4308669567108154
15,431,1.3908615112304688,
16,458,,1.4208966493606567
16,458,1.3876196146011353,
17,485,,1.4149059057235718
17,485,1.3820124864578247,
18,512,,1.4098347425460815
18,512,1.3721539974212646,
19,539,,1.4027916193008423
19,539,1.3669557571411133,
20,566,,1.393951177597046
20,566,1.355496883392334,
21,593,,1.386837124824524
21,593,1.3514186143875122,
22,620,,1.3828165531158447
22,620,1.345697283744812,
23,647,,1.38646399974823
23,647,1.3385825157165527,
24,674,,1.3628592491149902
24,674,1.3272496461868286,
25,701,,1.3769091367721558
25,701,1.3253508806228638,
26,728,,1.3558571338653564
26,728,1.3101212978363037,
27,755,,1.3434391021728516
27,755,1.3152847290039062,
28,782,,1.3479111194610596
28,782,1.3018022775650024,
29,809,,1.3365176916122437
29,809,1.296849250793457,
