epoch,step,train_loss,val_loss
0,26,,1.4001301527023315
0,26,1.3743618726730347,
1,53,,0.9470084309577942
1,53,1.060677409172058,
2,80,,0.6280069351196289
2,80,0.8272712230682373,
3,107,,0.6851475834846497
3,107,0.7113425731658936,
4,134,,0.42366790771484375
4,134,0.653785765171051,
5,161,,0.41169440746307373
5,161,0.5943571925163269,
6,188,,0.3819454312324524
6,188,0.5372143983840942,
7,215,,0.43459054827690125
7,215,0.5258843302726746,
8,242,,0.32685422897338867
8,242,0.486189603805542,
9,269,,0.412361741065979
9,269,0.5042126774787903,
10,296,,0.29361552000045776
10,296,0.43993717432022095,
11,323,,0.28547853231430054
11,323,0.43851396441459656,
12,350,,0.3381944000720978
12,350,0.40533363819122314,
13,377,,0.29388296604156494
13,377,0.4184795916080475,
14,404,,0.2906852960586548
14,404,0.3995943069458008,
15,431,,0.3051843047142029
15,431,0.445708692073822,
16,458,,0.2392590045928955
16,458,0.40390434861183167,
17,485,,0.33716148138046265
17,485,0.4014778733253479,
18,512,,0.23768478631973267
18,512,0.34345200657844543,
19,539,,0.5606553554534912
19,539,0.38742795586586,
20,566,,0.29767531156539917
20,566,0.3978181481361389,
21,593,,0.2831968367099762
21,593,0.365344375371933,
22,620,,0.22016070783138275
22,620,0.38337862491607666,
23,647,,0.22941842675209045
23,647,0.33712831139564514,
24,674,,0.48667678236961365
24,674,0.3305678069591522,
25,701,,0.23674006760120392
25,701,0.37721455097198486,
26,728,,0.7185342311859131
26,728,0.3398101329803467,
27,755,,0.2152678370475769
27,755,0.35091617703437805,
28,782,,0.2793325185775757
28,782,0.3276483118534088,
29,809,,0.229262113571167
29,809,0.3129616975784302,
30,836,,0.29944494366645813
30,836,0.3041870594024658,
31,863,,0.3159555196762085
31,863,0.2810419797897339,
32,890,,0.22020022571086884
32,890,0.32278570532798767,
33,917,,0.17885461449623108
33,917,0.30659154057502747,
34,944,,0.18912473320960999
34,944,0.2637813091278076,
35,971,,0.18566730618476868
35,971,0.2518587112426758,
36,998,,0.20258979499340057
36,998,0.29750341176986694,
37,1025,,0.18107092380523682
37,1025,0.2698364853858948,
38,1052,,0.24628260731697083
38,1052,0.3082853853702545,
39,1079,,0.18768037855625153
39,1079,0.3007314205169678,
40,1106,,0.21856589615345
40,1106,0.295034259557724,
41,1133,,0.26064184308052063
41,1133,0.2619374096393585,
42,1160,,0.24071192741394043
42,1160,0.27578452229499817,
43,1187,,0.27686789631843567
43,1187,0.27375924587249756,
44,1214,,0.39544370770454407
44,1214,0.3314414322376251,
45,1241,,0.18157333135604858
45,1241,0.2639133930206299,
46,1268,,0.17628806829452515
46,1268,0.2644098401069641,
47,1295,,0.17607085406780243
47,1295,0.24382640421390533,
48,1322,,0.1739349514245987
48,1322,0.24665714800357819,
49,1349,,0.17304831743240356
49,1349,0.24190284311771393,
50,1376,,0.1755266636610031
50,1376,0.24597035348415375,
51,1403,,0.17355239391326904
51,1403,0.23353856801986694,
52,1430,,0.17233237624168396
52,1430,0.22740153968334198,
53,1457,,0.1728198081254959
53,1457,0.24131298065185547,
54,1484,,0.1649223268032074
54,1484,0.22537651658058167,
55,1511,,0.1663603037595749
55,1511,0.2304847687482834,
56,1538,,0.16811515390872955
56,1538,0.24114611744880676,
57,1565,,0.16742022335529327
57,1565,0.2508854568004608,
58,1592,,0.17116232216358185
