epoch,step,train_loss,val_loss
0,26,,1.4191210269927979
0,26,1.349486231803894,
1,53,,1.249656319618225
1,53,1.055609941482544,
2,80,,0.7882738709449768
2,80,0.8488895297050476,
3,107,,0.5790815949440002
3,107,0.7077739238739014,
4,134,,0.4612533450126648
4,134,0.617196261882782,
5,161,,0.5002078413963318
5,161,0.584222137928009,
6,188,,0.40930214524269104
6,188,0.5142510533332825,
7,215,,0.32243847846984863
7,215,0.5239840149879456,
8,242,,0.28416091203689575
8,242,0.474752813577652,
9,269,,0.30813318490982056
9,269,0.452493816614151,
10,296,,0.30125293135643005
10,296,0.432046502828598,
11,323,,0.2773782014846802
11,323,0.42672404646873474,
12,350,,0.3053854703903198
12,350,0.415268212556839,
13,377,,0.30379343032836914
13,377,0.379616916179657,
14,404,,0.3248598873615265
14,404,0.3836197257041931,
15,431,,0.29634523391723633
15,431,0.3933517634868622,
16,458,,0.26845109462738037
16,458,0.3625483810901642,
17,485,,0.20831121504306793
17,485,0.3468015789985657,
18,512,,0.44217321276664734
18,512,0.33503586053848267,
19,539,,0.25391796231269836
19,539,0.3522525727748871,
20,566,,0.21564985811710358
20,566,0.36773717403411865,
21,593,,0.20237839221954346
21,593,0.32502010464668274,
22,620,,0.21079812943935394
22,620,0.3389131724834442,
23,647,,0.21793434023857117
23,647,0.33821186423301697,
24,674,,0.18364547193050385
24,674,0.32831165194511414,
25,701,,0.3108370900154114
25,701,0.3223862051963806,
26,728,,0.18199335038661957
26,728,0.35745128989219666,
27,755,,0.1937834769487381
27,755,0.29946884512901306,
28,782,,0.864256739616394
28,782,0.3199355900287628,
29,809,,0.17598015069961548
29,809,0.31151336431503296,
30,836,,0.22395022213459015
30,836,0.2600332796573639,
31,863,,0.17368558049201965
31,863,0.2935578227043152,
32,890,,0.1950206160545349
32,890,0.2902785539627075,
33,917,,0.18446344137191772
33,917,0.25859758257865906,
34,944,,0.1960401087999344
34,944,0.2979999780654907,
35,971,,0.18733687698841095
35,971,0.2784929871559143,
36,998,,0.18484166264533997
36,998,0.27996909618377686,
37,1025,,0.34216931462287903
37,1025,0.27732527256011963,
38,1052,,0.17688456177711487
38,1052,0.2722400724887848,
39,1079,,0.17362459003925323
39,1079,0.25539031624794006,
40,1106,,0.16967810690402985
40,1106,0.25882869958877563,
41,1133,,0.38722994923591614
41,1133,0.24673976004123688,
42,1160,,0.17459367215633392
42,1160,0.26854488253593445,
43,1187,,0.17246411740779877
43,1187,0.2610727548599243,
44,1214,,0.17954596877098083
44,1214,0.24967890977859497,
45,1241,,0.17011034488677979
45,1241,0.24187830090522766,
46,1268,,0.18055199086666107
46,1268,0.23316295444965363,
47,1295,,0.1506502777338028
47,1295,0.23160943388938904,
48,1322,,0.1448112577199936
48,1322,0.23262609541416168,
49,1349,,0.15542441606521606
49,1349,0.2511959373950958,
50,1376,,0.15743553638458252
50,1376,0.26087090373039246,
51,1403,,0.16042864322662354
51,1403,0.2530249357223511,
52,1430,,0.17530381679534912
52,1430,0.23571465909481049,
53,1457,,0.29367902874946594
53,1457,0.2594689428806305,
54,1484,,0.22180381417274475
54,1484,0.2527044713497162,
55,1511,,0.15275028347969055
55,1511,0.25029438734054565,
56,1538,,0.18263433873653412
56,1538,0.2395809441804886,
57,1565,,0.14971765875816345
57,1565,0.24270492792129517,
58,1592,,0.1575080305337906
58,1592,0.23520028591156006,
59,1619,,0.30976951122283936
59,1619,0.21308189630508423,
60,1646,,0.1369539201259613
60,1646,0.22644172608852386,
61,1673,,0.13604594767093658
61,1673,0.2139444649219513,
62,1700,,0.1334855556488037
62,1700,0.2053830772638321,
63,1727,,0.1354321539402008
63,1727,0.20918405055999756,
64,1754,,0.13195426762104034
64,1754,0.2058471292257309,
65,1781,,0.13245709240436554
65,1781,0.20603011548519135,
66,1808,,0.1338558793067932
66,1808,0.2153925895690918,
67,1835,,0.1303267776966095
67,1835,0.2013307362794876,
68,1862,,0.12847715616226196
68,1862,0.20837843418121338,
69,1889,,0.13395467400550842
69,1889,0.21873168647289276,
