epoch,step,test_dice,test_loss,train_loss,val_loss
39,1079,,,,0.853036105632782
39,1079,,,0.9397492408752441,
40,1106,,,,0.8364591598510742
40,1106,,,0.9292693734169006,
41,1133,,,,0.8270812034606934
41,1133,,,0.9187130928039551,
42,1160,,,,0.8236933946609497
42,1160,,,0.9093616604804993,
43,1187,,,,0.8217592239379883
43,1187,,,0.9099189043045044,
44,1214,,,,0.7977101802825928
44,1214,,,0.8952096104621887,
45,1241,,,,0.7913393378257751
45,1241,,,0.9002631306648254,
46,1268,,,,0.7751713991165161
46,1268,,,0.8876082897186279,
47,1295,,,,0.7868478298187256
47,1295,,,0.8752917051315308,
48,1322,,,,0.7937839031219482
48,1322,,,0.8693448305130005,
49,1349,,,,0.7533034682273865
49,1349,,,0.8720313310623169,
50,1376,,,,0.758704423904419
50,1376,,,0.8561443090438843,
51,1403,,,,0.744839072227478
51,1403,,,0.8558422327041626,
52,1430,,,,0.7421684265136719
52,1430,,,0.8549355268478394,
53,1457,,,,0.7397831678390503
53,1457,,,0.8454760909080505,
54,1484,,,,0.7032607197761536
54,1484,,,0.833203911781311,
55,1511,,,,0.7330247759819031
55,1511,,,0.8356236219406128,
56,1538,,,,0.7118520140647888
56,1538,,,0.840346097946167,
57,1565,,,,0.7188361287117004
57,1565,,,0.8224894404411316,
58,1592,,,,0.6989828944206238
58,1592,,,0.8228139281272888,
59,1619,,,,0.7158479690551758
59,1619,,,0.8146519064903259,
60,1646,,,,0.7145752310752869
60,1646,,,0.8078811764717102,
61,1673,,,,0.6662619113922119
61,1673,,,0.8056570887565613,
62,1700,,,,0.683224081993103
62,1700,,,0.8096098303794861,
63,1727,,,,0.6742717027664185
63,1727,,,0.7920151352882385,
64,1754,,,,0.674262285232544
64,1754,,,0.7974700927734375,
65,1781,,,,0.6608585119247437
65,1781,,,0.8038082122802734,
66,1808,,,,0.6717634797096252
66,1808,,,0.7816099524497986,
67,1835,,,,0.7067573666572571
67,1835,,,0.7909934520721436,
68,1862,,,,0.656132698059082
68,1862,,,0.7815983295440674,
69,1889,,,,0.6515235304832458
69,1889,,,0.7802146077156067,
70,1916,,,,0.6470231413841248
70,1916,,,0.7806533575057983,
71,1943,,,,0.6287837624549866
71,1943,,,0.7993371486663818,
72,1970,,,,0.6645901203155518
72,1970,,,0.7738895416259766,
73,1997,,,,0.6147520542144775
73,1997,,,0.7704983949661255,
74,2024,,,,0.6494362354278564
74,2024,,,0.7670725584030151,
75,2051,,,,0.6222158670425415
75,2051,,,0.7590320110321045,
76,2078,,,,0.6351227164268494
76,2078,,,0.7691953182220459,
77,2105,,,,0.6356014013290405
77,2105,,,0.7566637396812439,
78,2132,,,,0.640100359916687
78,2132,,,0.7439906001091003,
79,2159,,,,0.6155782341957092
79,2159,,,0.7512437105178833,
80,2186,,,,0.6268823742866516
80,2186,,,0.7643165588378906,
81,2213,,,,0.6407119631767273
81,2213,,,0.754300594329834,
82,2240,,,,0.6001560688018799
82,2240,,,0.7618457674980164,
83,2267,,,,0.5956705212593079
83,2267,,,0.7448021173477173,
84,2294,,,,0.6094746589660645
84,2294,,,0.7352781891822815,
85,2321,,,,0.600603461265564
85,2321,,,0.7350295186042786,
86,2348,,,,0.6156111359596252
86,2348,,,0.7412866950035095,
87,2375,,,,0.5847506523132324
87,2375,,,0.7433425188064575,
88,2402,,,,0.6147979497909546
88,2402,,,0.7390065789222717,
89,2429,,,,0.5991278290748596
89,2429,,,0.743028998374939,
90,2456,,,,0.6258136034011841
90,2456,,,0.724547266960144,
91,2483,,,,0.5780564546585083
91,2483,,,0.7474139928817749,
92,2510,,,,0.5757718086242676
92,2510,,,0.7198783159255981,
93,2537,,,,0.5826035737991333
93,2537,,,0.7372531294822693,
94,2564,,,,0.572172224521637
94,2564,,,0.7248191833496094,
95,2591,,,,0.5973008275032043
95,2591,,,0.721713125705719,
96,2618,,,,0.5790608525276184
96,2618,,,0.7030224800109863,
97,2645,,,,0.5800628066062927
97,2645,,,0.7187506556510925,
98,2672,,,,0.5822484493255615
98,2672,,,0.72105473279953,
99,2699,,,,0.5763641595840454
99,2699,,,0.7048290967941284,
100,2726,,,,0.5882460474967957
100,2726,,,0.7199051380157471,
101,2753,,,,0.5367680788040161
101,2753,,,0.7193373441696167,
102,2780,,,,0.5680264830589294
102,2780,,,0.7102463245391846,
103,2807,,,,0.5307718515396118
103,2807,,,0.711833119392395,
104,2834,,,,0.5633740425109863
104,2834,,,0.7060284614562988,
105,2861,,,,0.5601114630699158
105,2861,,,0.701636791229248,
106,2888,,,,0.5449614524841309
106,2888,,,0.6962352395057678,
107,2915,,,,0.5825954079627991
107,2915,,,0.7139603495597839,
108,2942,,,,0.5379291772842407
108,2942,,,0.6908702254295349,
109,2969,,,,0.5276632905006409
109,2969,,,0.678692638874054,
110,2970,0.48874640464782715,0.6450193524360657,,
