epoch,step,train_loss,val_loss
0,26,,1.2291511297225952
0,26,1.2780821323394775,
1,53,,0.886705219745636
1,53,1.028037428855896,
2,80,,0.8326059579849243
2,80,0.8329892158508301,
3,107,,0.6416217684745789
3,107,0.7359989285469055,
4,134,,0.6356201767921448
4,134,0.6407965421676636,
5,161,,0.4379119575023651
5,161,0.5986409783363342,
6,188,,0.5266302227973938
6,188,0.5799379944801331,
7,215,,0.41131535172462463
7,215,0.5362764596939087,
8,242,,0.3861667513847351
8,242,0.5206329822540283,
9,269,,0.3802013099193573
9,269,0.4851212799549103,
10,296,,0.379464715719223
10,296,0.4975552260875702,
11,323,,0.3738882541656494
11,323,0.48626428842544556,
12,350,,0.3937864899635315
12,350,0.48826563358306885,
13,377,,0.35363689064979553
13,377,0.4898059368133545,
14,404,,0.37054207921028137
14,404,0.46479332447052,
15,431,,0.3393018841743469
15,431,0.4610747992992401,
16,458,,0.36182355880737305
16,458,0.4749382734298706,
17,485,,0.4519212543964386
17,485,0.46159327030181885,
18,512,,0.3132694363594055
18,512,0.4859471619129181,
19,539,,0.45001471042633057
19,539,0.4836515188217163,
20,566,,0.5084702968597412
20,566,0.4774908125400543,
21,593,,0.5934653878211975
21,593,0.46284523606300354,
22,620,,0.349536657333374
22,620,0.4588274359703064,
23,647,,0.35133957862854004
23,647,0.4406847357749939,
24,674,,0.32160747051239014
24,674,0.4288620352745056,
25,701,,0.24368073046207428
25,701,0.3737752437591553,
26,728,,0.25453412532806396
26,728,0.3424432873725891,
27,755,,0.24682757258415222
27,755,0.3341396152973175,
28,782,,0.24133215844631195
28,782,0.321836918592453,
29,809,,0.24080026149749756
29,809,0.3351009488105774,
30,836,,0.2375674843788147
30,836,0.3256082236766815,
31,863,,0.24170450866222382
31,863,0.3252401649951935,
32,890,,0.23921652138233185
32,890,0.3282793462276459,
33,917,,0.25828227400779724
33,917,0.35631731152534485,
34,944,,0.2650165557861328
34,944,0.3206373155117035,
35,971,,0.24251976609230042
35,971,0.33099880814552307,
36,998,,0.3181290328502655
36,998,0.36876359581947327,
37,1025,,0.25127312541007996
37,1025,0.35857799649238586,
38,1052,,0.28388386964797974
38,1052,0.3453313708305359,
39,1079,,0.38921356201171875
39,1079,0.3751280605792999,
40,1106,,0.3045710325241089
40,1106,0.38351207971572876,
41,1133,,0.240226611495018
41,1133,0.3594367802143097,
42,1160,,0.2842171788215637
42,1160,0.34520989656448364,
43,1187,,0.2567906081676483
43,1187,0.3619440793991089,
44,1214,,0.24962103366851807
44,1214,0.3199496865272522,
45,1241,,0.22328555583953857
45,1241,0.31008562445640564,
46,1268,,0.2622095048427582
46,1268,0.3079054355621338,
47,1295,,0.20592860877513885
47,1295,0.25479772686958313,
48,1322,,0.1954324096441269
48,1322,0.25568708777427673,
49,1349,,0.19510778784751892
49,1349,0.2591525912284851,
50,1376,,0.19513458013534546
50,1376,0.27389848232269287,
51,1403,,0.19856755435466766
51,1403,0.26571640372276306,
52,1430,,0.19996003806591034
52,1430,0.25829586386680603,
53,1457,,0.2050870805978775
53,1457,0.2626499533653259,
54,1484,,0.20996689796447754
54,1484,0.25138452649116516,
55,1511,,0.20698422193527222
55,1511,0.2559220492839813,
56,1538,,0.2347077876329422
56,1538,0.28247615694999695,
57,1565,,0.3306032717227936
57,1565,0.30821043252944946,
58,1592,,0.3833334147930145
58,1592,0.3130733370780945,
59,1619,,0.2514916956424713
59,1619,0.3166755735874176,
60,1646,,0.259682297706604
60,1646,0.30473607778549194,
61,1673,,0.3773752748966217
61,1673,0.2865294814109802,
62,1700,,0.24462656676769257
62,1700,0.29675209522247314,
63,1727,,0.2339811623096466
63,1727,0.2897416949272156,
64,1754,,0.19201301038265228
64,1754,0.26938825845718384,
65,1781,,0.22587358951568604
65,1781,0.25987541675567627,
66,1808,,0.2324489802122116
66,1808,0.25313782691955566,
67,1835,,0.20367524027824402
67,1835,0.2417292445898056,
68,1862,,0.17524708807468414
68,1862,0.2401217222213745,
69,1889,,0.18052372336387634
69,1889,0.22270463407039642,
70,1916,,0.18072961270809174
70,1916,0.2439367026090622,
71,1943,,0.1841585487127304
71,1943,0.22900284826755524,
72,1970,,0.18331222236156464
72,1970,0.2138788104057312,
73,1997,,0.19313736259937286
73,1997,0.22513265907764435,
74,2024,,0.1907701939344406
74,2024,0.2340121865272522,
75,2051,,0.23892715573310852
75,2051,0.22885063290596008,
76,2078,,0.20466288924217224
76,2078,0.2386740893125534,
77,2105,,0.24139808118343353
77,2105,0.2570854723453522,
